id,amenity,name,recycling:batteries,recycling:cans,recycling:clothes,recycling:glass,recycling:glass_bottles,recycling:green_waste,recycling:medicine,recycling:medicines,recycling:paper,recycling:plastic,recycling:scrap_metal,recycling_type,lon,lat
node/2807904590,recycling,Medicinali scaduti,yes,,,,,,yes,,,,,container,10.8165503,45.3078334
node/2807914604,recycling,,yes,,,,,,,yes,,,,container,10.8179456,45.3096721
node/2807932559,recycling,,,,,yes,,,,,,,,container,10.814576,45.3068015
node/2807932560,recycling,,,,,yes,,,,,,,,container,10.8146017,45.3067924
node/2807932561,recycling,Humana,,,yes,,,,,,,,,container,10.8146323,45.3067799
node/2807932562,recycling,Batterie e medicinali,yes,,,,,,,yes,,,,container,10.8146736,45.3067656
node/2807960035,recycling,,,,,yes,,,,,,,,container,10.8120414,45.3078177
node/2807960036,recycling,,,,,yes,,,,,,,,container,10.8130303,45.309179
node/2807981511,recycling,,,,,yes,,,,,,,,container,10.826892,45.3209033
node/2807988550,recycling,Vetro,,,,yes,,,,,,,,container,10.8288371,45.3214465
node/2807988551,recycling,Humana,,,yes,,,,,,,,,container,10.8287877,45.3214451
node/2807988552,recycling,,yes,,,,,,,yes,,,,container,10.8313009,45.3196698
node/2807988555,recycling,,,,,yes,,,,,,,,container,10.8330797,45.3221847
node/2807988556,recycling,,,,,yes,,,,,,,,container,10.831692,45.3212485
node/2807996230,recycling,,,,,yes,,,,,,,,container,10.8327048,45.3213744
node/2808026416,recycling,vetro,,,,yes,,,,,,,,container,10.8583576,45.3145473
node/2808026417,recycling,medicinali e batterie,yes,,,,,,,yes,,,,container,10.858276,45.3145557
node/2808042979,recycling,,,,,yes,,,,,,,,container,10.8559224,45.3182046
node/2808042980,recycling,,,,,yes,,,,,,,,container,10.8559239,45.3181757
node/2808042981,recycling,,,,,yes,,,,,,,,container,10.8573442,45.3170521
node/2808042982,recycling,,yes,,,,,,,yes,,,,container,10.8573826,45.317459
node/2808042983,recycling,vetro,,,,yes,,,,,,,,container,10.8582195,45.3151635
node/2808042984,recycling,,,,,yes,,,,,,,,container,10.859493,45.3156972
node/2808042985,recycling,,,,,yes,,,,,,,,container,10.8581155,45.3173287
node/2817154498,recycling,,,,,yes,,,,,,,,container,10.8133762,45.3057209
node/2822403976,recycling,Humana,,,yes,,,,,,,,,container,10.8582395,45.3145617
node/2822403977,recycling,vetro,,,,yes,,,,,,,,container,10.8589474,45.3155007
node/2822406409,recycling,,,,,yes,,,,,,,,container,10.8567468,45.3152949
node/2822987455,waste_basket,,,,,,,,,,,,,,10.8558734,45.3182228
node/2822995615,waste_basket,,,,,,,,,,,,,,10.8571241,45.3150781
node/2822995616,waste_basket,,,,,,,,,,,,,,10.8570264,45.3149476
node/2823008733,waste_basket,,,,,,,,,,,,,,10.856018,45.3182667
node/2828060340,waste_basket,,,,,,,,,,,,,,10.8248659,45.2886036
node/3475456870,waste_basket,,,,,,,,,,,,,,10.8172432,45.3091384
node/3563510895,recycling,,,,,yes,,,,,,,,container,10.8163741,45.3064862
node/3581444589,waste_basket,,,,,,,,,,,,,,10.8180702,45.3084868
node/3586251169,recycling,,,,,yes,,,,,,,,container,10.8186403,45.3028954
node/3586270575,waste_basket,,,,,,,,,,,,,,10.819126,45.3033814
node/3615251772,waste_basket,,,,,,,,,,,,,,10.8191696,45.3043321
node/3615782118,recycling,,,,yes,,,,,,,,,container,10.8195055,45.304959
node/3615782119,waste_basket,,,,,,,,,,,,,,10.81955,45.3050233
node/3615782121,waste_basket,,,,,,,,,,,,,,10.8201483,45.3057602
node/3615782126,waste_basket,,,,,,,,,,,,,,10.8209073,45.3067558
node/9741330948,waste_basket,,,,,,,,,,,,,,10.8294786,45.3201473
node/9741330951,waste_basket,,,,,,,,,,,,,,10.8296699,45.3202747
node/9741330952,waste_basket,,,,,,,,,,,,,,10.8296339,45.3204076
